# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Saccharomyces cerevisiae.
# 
# The original network was built using the information available from
# 
# Teixeira MC, Monteiro PT, Guerreiro JF, Gonçalves JP, Mira NP, Dos Santos
# SC, et al. The YEASTRACT database: an upgraded information system for the
# analysis of gene and genomic transcription regulation in Saccharomyces
# cerevisiae.      Nucleic acids research. 2014;42(1):D161–6.
# doi:10.1093/nar/gkt1015.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
wtm2	atg29	
wtm2	utp15	
wtm2	ict1	
wtm2	yml6	
wtm2	ymr103c	
wtm2	hsp104	
wtm2	stp3	
wtm2	stp4	
wtm2	irc6	
wtm2	swi1	
wtm2	ydr094w	
wtm2	usv1	
wtm2	ylr297w	
wtm2	cog1	
wtm2	wtm2	
wtm2	lsm3	
wtm2	rrn3	
wtm2	ymr084w	
wtm2	asf1	
wtm2	ynr066c	
wtm2	gad1	
wtm2	hsp30	
wtm2	sgo1	
wtm2	tpo2	
wtm2	tfs1	
wtm2	isf1	
wtm2	yer135c	
wtm2	stf2	
wtm2	fdc1	
wtm2	bap2	
wtm2	yro2	
wtm2	net1	
wtm2	pst1	
wtm2	ygr139w	
wtm2	yar028w	
wtm2	psd1	
wtm2	gpd1	
wtm2	rsm7	
wtm2	ygr079w	
wtm2	naf1	
wtm2	csi2	
wtm2	pfk27	
wtm2	glc3	
wtm2	dma2	
wtm2	sym1	
wtm2	ymr034c	
wtm2	glk1	
wtm2	tsl1	
wtm2	sol4	
wtm2	yel010w	
wtm2	fre5	
wtm2	ygp1	
wtm2	bsc1	
wtm2	frt1	
wtm2	tda4	
wtm2	ecm3	
wtm2	tda1	
wtm2	tpo4	
wtm2	gsy1	
wtm2	pun1	
wtm2	gsy2	
wtm2	nde1	
wtm2	oca1	
wtm2	ssu72	
wtm2	trm3	
wtm2	cdc14	
wtm2	vth2	
wtm2	ybr089w	
wtm2	gyp7	
wtm2	cox19	
wtm2	ylr177w	
wtm2	whi2	
wtm2	bub3	
wtm2	rrp7	
wtm2	mog1	
wtm2	spt21	
wtm2	yhr212c	
wtm2	dsn1	
wtm2	kre29	
wtm2	fyv1	
wtm2	izh4	
wtm2	yjl142c	
wtm2	izh2	
wtm2	ypl014w	
wtm2	ypl109c	
wtm2	ylh47	
wtm2	ylr108c	
wtm2	uip3	
wtm2	spi1	
wtm2	dyn2	
wtm2	cdc21	
wtm2	ymr181c	
wtm2	rgi1	
wtm2	ubx7	
wtm2	ubx6	
wtm2	rad27	
wtm2	cln1	
wtm2	pho5	
wtm2	igd1	
wtm2	ole1	
wtm2	cks1	
wtm2	nnf1	
wtm2	ipi1	
wtm2	pgm2	
wtm2	gpi18	
wtm2	ylr257w	
wtm2	ypl247c	
wtm2	slt2	
wtm2	ufe1	
wtm2	cdc5	
wtm2	msc1	
wtm2	aim17	
wtm2	sfk1	
wtm2	ypl136w	
wtm2	gpx1	
wtm2	yps3	
wtm2	hif1	
wtm2	yps1	
wtm2	bat2	
wtm2	stb1	
wtm2	ndi1	
wtm2	pmp3	
wtm2	nft1	
wtm2	cit1	
wtm2	ypr114w	
wtm2	nuc1	
wtm2	vhr2	
wtm2	ymr144w	
wtm2	are2	
wtm2	ylr455w	
wtm2	mss1	
wtm2	pcl1	
wtm2	mtd1	
wtm2	ycl042w	
wtm2	ylr252w	
wtm2	cca1	
wtm2	hst2	
wtm2	dat1	
wtm2	smb1	
wtm2	tps1	
wtm2	tps2	
wtm2	yir035c	
wtm2	ypk2	
wtm2	yjl017w	
wtm2	chs1	
wtm2	vik1	
wtm2	ste13	
wtm2	ylr374c	
wtm2	ygr250c	
wtm2	ylr049c	
wtm2	zsp1	
wtm2	sds24	
wtm2	tos4	
wtm2	qcr6	
wtm2	ydr222w	
wtm2	ydc1	
wtm2	ygr012w	
wtm2	sse2	
wtm2	rho2	
wtm2	pcl2	
wtm2	hrk1	
wtm2	ylr101c	
wtm2	pcl7	
wtm2	gat2	
wtm2	hsh49	
wtm2	ydl023c	
wtm2	yox1	
wtm2	nop19	
wtm2	ynl115c	
wtm1	ydr095c	
wtm1	flr1	
wtm1	dst1	
wtm1	moh1	
wtm1	gre2	
wtm1	rft1	
wtm1	swi1	
wtm1	yml082w	
wtm1	pho12	
wtm1	rot1	
wtm1	gcv2	
wtm1	hxt3	
wtm1	sec14	
wtm1	wtm1	
wtm1	mcm4	
wtm1	asf1	
wtm1	brx1	
wtm1	atp12	
wtm1	ecm18	
wtm1	ylr177w	
wtm1	rrn10	
wtm1	neo1	
wtm1	ymr1	
wtm1	pho11	
wtm1	emc2	
wtm1	pri2	
wtm1	ynl092w	
wtm1	ubp14	
wtm1	emc5	
wtm1	opy1	
wtm1	nnk1	
wtm1	gtr1	
wtm1	ybr089w	
wtm1	ntr2	
wtm1	yll065w	
wtm1	mch4	
wtm1	yel014c	
wtm1	ymr181c	
wtm1	ybr144c	
wtm1	sna4	
wtm1	end3	
wtm1	vph2	
wtm1	rim2	
wtm1	vps38	
wtm1	arg4	
wtm1	yar060c	
wtm1	arg7	
wtm1	hos3	
wtm1	oar1	
wtm1	ckb2	
wtm1	rpo41	
wtm1	yfh7	
wtm1	mba1	
wtm1	prp6	
wtm1	utp5	
wtm1	npr3	
wtm1	wwm1	
wtm1	saw1	
wtm1	ypt7	
wtm1	cur1	
wtm1	spl2	
wtm1	tpo1	
wtm1	nde1	
wtm1	ypl245w	
wtm1	phm6	
wtm1	agp1	
wtm1	pep12	
wtm1	taf2	
wtm1	ycr015c	
wtm1	ybl062w	
wtm1	ups3	
wtm1	cmr3	
wtm1	sec21	
wtm1	ymr102c	
wtm1	skt5	
wtm1	pmt7	
wtm1	rpn11	
wtm1	pet10	
wtm1	bni1	
wtm1	ylr346c	
wtm1	ykr023w	
wtm1	spt23	
wtm1	ymr134w	
wtm1	ypl191c	
wtm1	jjj3	
wtm1	rmt2	
wtm1	tub3	
wtm1	mrpl3	
wtm1	ict1	
wtm1	gis3	
wtm1	mkc7	
wtm1	yjl022w	
wtm1	akr2	
wtm1	spp41	
wtm1	yol150c	
wtm1	cdc21	
wtm1	ydl176w	
wtm1	yef1	
wtm1	ygr073c	
wtm1	ymr052c-a	
wtm1	tip41	
wtm1	rga2	
wtm1	ypl260w	
wtm1	ypl034w	
wtm1	pho5	
wtm1	yhr177w	
wtm1	ubp7	
wtm1	yel076c	
wtm1	npp2	
wtm1	fap1	
wtm1	yml053c	
wtm1	ola1	
wtm1	mtr3	
wtm1	gpi16	
wtm1	gid8	
wtm1	rlm1	
wtm1	swd1	
wtm1	psh1	
wtm1	aim18	
wtm1	mnn1	
wtm1	tof2	
wtm1	aim10	
wtm1	ygl262w	
wtm1	fzo1	
wtm1	srb8	
wtm1	yfl054c	
wtm1	pre5	
wtm1	rsr1	
wtm1	ddr48	
wtm1	bud6	
wtm1	rad14	
wtm1	sts1	
wtm1	bud9	
wtm1	yml119w	
wtm1	vhr1	
wtm1	rtc3	
wtm1	fms1	
wtm1	yor052c	
wtm1	adi1	
wtm1	ycl046w	
wtm1	ygr137w	
wtm1	ylr252w	
wtm1	ysn1	
wtm1	bph1	
wtm1	ydl062w	
wtm1	tps1	
wtm1	dal4	
wtm1	ydr249c	
wtm1	yaf9	
wtm1	tim54	
wtm1	scp1	
wtm1	tcm62	
wtm1	alk1	
wtm1	yfl012w	
wtm1	ylr232w	
wtm1	urh1	
wtm1	tpk2	
wtm1	bdh2	
wtm1	pau12	
wtm1	ydr401w	
wtm1	ctk1	
wtm1	kar4	
wtm1	imd1	
wtm1	cep3	
wtm1	alg8	
wtm1	spo12	
wtm1	mrpl4	
wtm1	ylr269c	
wtm1	zrt1	
wtm1	ctf19	
wtm1	spo19	
wtm1	tri1	
wtm1	hef3	
wtm1	akl1	
wtm1	chs3	
wtm1	bur2	
wtm1	gyl1	
wtm1	ygl074c	
wtm1	pep8	
wtm1	cpr6	
wtm1	ykl202w	
wtm1	yfl015c	
wtm1	ygr219w	
wtm1	sam4	
hpc2	pho84	
hpc2	hhf2	
hpc2	hir2	
hpc2	hir1	
hpc2	hhf1	
hpc2	hir3	
hpc2	hta1	
tbf1	pdr10	
tbf1	ybr053c	
tbf1	yer188c-a	
tbf1	psd2	
tbf1	exg1	
tbf1	ykl044w	
tbf1	cpr4	
tbf1	cpr1	
tbf1	yhl049c	
tbf1	ylr412c-a	
tbf1	atp7	
tbf1	pxl1	
tbf1	atg23	
tbf1	rpl33a	
tbf1	dis3	
tbf1	gdb1	
tbf1	sds23	
tbf1	sun4	
tbf1	rad55	
tbf1	yme2	
tbf1	ydr544c	
tbf1	dgr2	
tbf1	hcm1	
tbf1	erg4	
tbf1	ydr543c	
tbf1	gup2	
tbf1	erg3	
tbf1	paf1	
tbf1	yhl042w	
tbf1	spe2	
tbf1	frk1	
tbf1	flo11	
tbf1	lea1	
tbf1	sen2	
tbf1	pmt3	
tbf1	caf130	
tbf1	rpl16a	
tbf1	ssb1	
tbf1	cos12	
tbf1	tip20	
tbf1	ste23	
tbf1	ygl218w	
tbf1	cln3	
tbf1	cln1	
tbf1	ygr169c-a	
tbf1	her1	
tbf1	skn7	
tbf1	pgk1	
tbf1	tgl3	
tbf1	tgl4	
tbf1	tda1	
tbf1	hem4	
tbf1	pds1	
tbf1	arg80	
tbf1	scw4	
tbf1	gip2	
tbf1	ics2	
tbf1	ssn8	
tbf1	cos6	
tbf1	cos2	
tbf1	rgt1	
tbf1	smx3	
tbf1	mtc6	
tbf1	cox17	
tbf1	skg6	
tbf1	ylr225c	
tbf1	pre1	
tbf1	yjr129c	
tbf1	spr3	
tbf1	thi21	
tbf1	mpe1	
tbf1	nan1	
tbf1	ymr182w-a	
tbf1	srp40	
tbf1	ura7	
tbf1	yir042c	
tbf1	rpl27b	
tbf1	pno1	
tbf1	fzf1	
tbf1	vma9	
tbf1	yml007c-a	
tbf1	ypr092w	
tbf1	pop6	
tbf1	sed1	
tbf1	ole1	
tbf1	yfr035c	
tbf1	sec59	
tbf1	thi6	
tbf1	tbs1	
tbf1	ynl337w	
tbf1	uba1	
tbf1	gpa1	
tbf1	ydr491c	
tbf1	fba1	
tbf1	msc3	
tbf1	zpr1	
tbf1	ssk22	
tbf1	ydr010c	
tbf1	ena1	
tbf1	hal1	
tbf1	yil055c	
tbf1	yml034c-a	
tbf1	pmp3	
tbf1	yjr114w	
tbf1	prp22	
tbf1	dfg16	
tbf1	vhr1	
tbf1	ylr455w	
tbf1	bbc1	
tbf1	pre7	
tbf1	yml018c	
tbf1	cwc22	
tbf1	sed4	
tbf1	erg25	
tbf1	rnh203	
tbf1	ykl063c	
tbf1	hsl7	
tbf1	yll066w-b	
tbf1	pac11	
tbf1	nrg1	
tbf1	yhr095w	
tbf1	ybl073w	
tbf1	coa2	
tbf1	ebp2	
tbf1	pau10	
tbf1	q0297	
tbf1	pau12	
tbf1	ymr326c	
tbf1	spo12	
tbf1	noc4	
tbf1	zrt2	
tbf1	fet4	
tbf1	ymr244w	
tbf1	ybl109w	
tbf1	act1	
tbf1	tye7	
tbf1	hug1	
tbf1	hxk2	
tbf1	rph1	
tbf1	sti1	
tbf1	cus1	
tbf1	yor029w	
tbf1	ygl088w	
tbf1	fmo1	
tbf1	ytm1	
tbf1	yhl041w	
tbf1	srl1	
tbf1	mcm1	
tbf1	ybl029c-a	
tbf1	yil054w	
tbf1	rpl42b	
tbf1	snq2	
tbf1	ylr456w	
tbf1	uth1	
tbf1	apl4	
tbf1	gtt3	
tbf1	amd1	
tbf1	ape1	
tbf1	ypl257w	
tbf1	icy1	
tbf1	pex28	
tbf1	sco1	
tbf1	gpd2	
tbf1	pox1	
tbf1	nmd2	
tbf1	rho3	
tbf1	uga3	
tbf1	tlg2	
tbf1	rrp42	
tbf1	yhm2	
tbf1	yll065w	
tbf1	hho1	
tbf1	rck2	
tbf1	yll066c	
tbf1	ylr149c-a	
tbf1	lsg1	
tbf1	mps2	
tbf1	fks3	
tbf1	mid2	
tbf1	ylr366w	
tbf1	met3	
tbf1	pcl2	
tbf1	gir2	
tbf1	ylr462w	
tbf1	nup1	
tbf1	pet112	
tbf1	elp6	
tbf1	fsf1	
tbf1	aat2	
tbf1	ypl062w	
tbf1	snc2	
tbf1	ssa1	
tbf1	poc4	
tbf1	pau24	
tbf1	ycr085w	
tbf1	trs31	
tbf1	spc2	
tbf1	ccc1	
tbf1	ypr202w	
tbf1	sso2	
tbf1	cdc26	
tbf1	can1	
tbf1	ydl183c	
tbf1	ala1	
tbf1	snu114	
tbf1	ser1	
tbf1	glt1	
tbf1	atg15	
tbf1	tre1	
tbf1	cmc4	
tbf1	rps14a	
tbf1	ahp1	
tbf1	cup9	
tbf1	chc1	
tbf1	erg11	
tbf1	rtt101	
tbf1	gnt1	
tbf1	ynl338w	
tbf1	efb1	
tbf1	ydr042c	
tbf1	mf(alpha)2	
tbf1	hot1	
tbf1	mam3	
tbf1	bns1	
tbf1	idi1	
tbf1	psp2	
tbf1	tat2	
tbf1	pex4	
tbf1	hap4	
tbf1	ygl177w	
tbf1	yrf1-3	
tbf1	yfl064c	
tbf1	glo4	
tbf1	csm2	
tbf1	prb1	
tbf1	bre5	
tbf1	bre4	
tbf1	bre1	
tbf1	rpl36a	
tbf1	adh2	
tbf1	imd4	
tbf1	imd2	
tbf1	kre5	
tbf1	mrpl16	
tbf1	das1	
tbf1	apd1	
tbf1	trp3	
tbf1	yjl047c-a	
tbf1	ygr210c	
tbf1	dcc1	
tbf1	cin5	
tbf1	mmr1	
tbf1	ptr2	
tbf1	pet54	
tbf1	rpa34	
tbf1	yhr140w	
tbf1	amn1	
tbf1	ypr148c	
tbf1	csr2	
tbf1	ssk1	
tbf1	atg26	
tbf1	tbf1	
tbf1	rpi1	
tbf1	msn4	
tbf1	nce102	
tbf1	ygl217c	
tbf1	yor146w	
tbf1	orc2	
tbf1	asn1	
tbf1	mnl2	
tbf1	tif34	
tbf1	ear1	
tbf1	mdn1	
tbf1	ymr320w	
tbf1	orm2	
tbf1	yor041c	
tbf1	aht1	
tbf1	ubc4	
tbf1	hac1	
tbf1	ymr1	
tbf1	pri2	
tbf1	cnl1	
tbf1	gsp2	
tbf1	env9	
tbf1	ylr296w	
tbf1	asg1	
tbf1	tdh2	
tbf1	tdh3	
tbf1	smi1	
tbf1	hek2	
tbf1	glc8	
tbf1	yhr177w	
tbf1	yfr057w	
tbf1	cyc3	
tbf1	ykr041w	
tbf1	scw10	
tbf1	sol2	
tbf1	flc2	
tbf1	nse1	
tbf1	npr2	
tbf1	mth1	
tbf1	frt2	
tbf1	puf3	
tbf1	phm8	
tbf1	rpl31a	
tbf1	pkh1	
tbf1	egd2	
tbf1	vcx1	
tbf1	ymr194c-a	
tbf1	sap155	
tbf1	asr1	
tbf1	hxt1	
tbf1	imd3	
tbf1	ylr108c	
tbf1	gis3	
tbf1	cox3	
tbf1	pet123	
tbf1	rps25b	
tbf1	rgi2	
tbf1	ima2	
tbf1	ai1	
tbf1	ai2	
tbf1	gsm1	
tbf1	syp1	
tbf1	osw2	
tbf1	ypl025c	
tbf1	yfr018c	
tbf1	nta1	
tbf1	trz1	
tbf1	put3	
tbf1	tma17	
tbf1	pub1	
tbf1	use1	
tbf1	pdx1	
tbf1	yfl063w	
tbf1	adp1	
tbf1	dpm1	
tbf1	zeo1	
