# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Drosophila melanogaster.
# 
# The original network was built using the information available from
# 
# Roy S, Ernst J, Kharchenko PV, Kheradpour P, Negre N, Eaton ML, et al.
# Identification of functional elements and regulatory circuits by Drosophila
# modENCODE. Science (New York, NY). 2010;330(6012):1787–97.
# doi:10.1126/science.1198374.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
Oli	trh	
Oli	otk	
Oli	tap	
Oli	Myo10A	
Oli	CG8306	
Oli	SP71	
Oli	LanB1	
Oli	Fili	
Oli	CG1499	
H15	unc-4	
H15	Ccp84Ac	
H15	AP-2	
H15	B-H1	
H15	ara	
H15	sens-2	
H15	Wnt10	
CG32006	Ir41a	
CG32006	dpr7	
CG32006	TpnC41C	
CG32006	TpnC4	
CG32006	NfI	
Sry-beta	CG34439	
Sry-beta	Hel25E	
Sry-beta	Bre1	
Sry-beta	c(3)G	
Sry-beta	aur	
Sry-beta	msl-3	
Sry-beta	msl-1	
Sry-beta	Vhl	
Sry-beta	neur	
Sry-beta	CG31716	
Sry-beta	CG13255	
Sry-beta	Slu7	
Sry-beta	CSN4	
Sry-beta	CSN5	
Sry-beta	CSN6	
Sry-beta	PebIII	
Sry-beta	CSN3	
Sry-beta	CG31392	
Sry-beta	dgt1	
Sry-beta	dgt6	
Sry-beta	dgt5	
Sry-beta	dgt4	
Sry-beta	Rtf1	
Sry-beta	CG14561	
Sry-beta	kuk	
Sry-beta	CG12818	
Sry-beta	CG15561	
Sry-beta	CG4820	
Sry-beta	Madm	
Sry-beta	Snm1	
Sry-beta	CG4825	
Sry-beta	CG2617	
Sry-beta	CG11412	
Sry-beta	CG11417	
Sry-beta	CG7246	
Sry-beta	eIF-3p66	
Sry-beta	wdn	
Sry-beta	wds	
Sry-beta	CG4936	
Sry-beta	CG3238	
Sry-beta	CG3587	
Sry-beta	Zw	
Sry-beta	glu	
Sry-beta	CG4911	
Sry-beta	Su(var)3-3	
Sry-beta	Su(var)3-7	
Sry-beta	CG33514	
Sry-beta	CG2186	
Sry-beta	mus201	
Sry-beta	Cp190	
Sry-beta	brm	
Sry-beta	MEP-1	
Sry-beta	Eaf	
Sry-beta	CG15141	
Sry-beta	CG2051	
Sry-beta	lwr	
Sry-beta	Su(var)205	
Sry-beta	CG11307	
Sry-beta	mael	
Sry-beta	dnk	
Sry-beta	CG9754	
Sry-beta	CG3056	
Sry-beta	UbcD2	
Sry-beta	p16-ARC	
Sry-beta	CG7757	
Sry-beta	CG5245	
Sry-beta	CG1972	
Sry-beta	CG12034	
Sry-beta	Vha68-1	
Sry-beta	CG8939	
Sry-beta	cal1	
Sry-beta	Cbl	
Sry-beta	CG10320	
Sry-beta	RabX6	
Sry-beta	CG10324	
Sry-beta	CG10326	
Sry-beta	CG31650	
Sry-beta	CG8331	
Sry-beta	CG8336	
Sry-beta	MrgBP	
Sry-beta	Jarid2	
Sry-beta	CG12259	
Sry-beta	unc-119	
Sry-beta	CG5026	
Sry-beta	me31B	
Sry-beta	CG6370	
Sry-beta	CG11127	
Sry-beta	CG11120	
Sry-beta	hop	
Sry-beta	CG11123	
Sry-beta	CkIalpha	
Sry-beta	CG11329	
Sry-beta	CG17802	
Sry-beta	CG6406	
Sry-beta	mRpL11	
Sry-beta	CG6401	
Sry-beta	CG8485	
Sry-beta	CG6409	
Sry-beta	pr-set7	
Sry-beta	CG8243	
Sry-beta	Mtor	
Sry-beta	Aly	
Sry-beta	Pp2A-29B	
Sry-beta	CG11444	
Sry-beta	Usp7	
Sry-beta	Set2	
Sry-beta	Patj	
