# This file contains the list of genes (nodes) in the gene regulatory network
# of Bacillus subtilis.
# 
# The original network was built using the information available from
# 
# Sierro N, Makita Y, de Hoon M, Nakai K. DBTBS: a database of transcriptional
# regulation in Bacillus subtilis containing upstream intergenic conservation
# information. Nucleic acids research. 2008;36(Database issue):D93–6.
# doi:10.1093/nar/gkm910.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
siga	1	327	Reservoir
sigg	2	60	Reservoir
abrb	2	32	Reservoir
sigd	1	30	Reservoir
comk	6	26	Reservoir
sigh	2	24	Reservoir
phop	5	18	Reservoir
spovt	1	16	Reservoir
spo0a	2	15	Reservoir
resd	2	13	Reservoir
rok	3	9	Reservoir
sinr	1	5	Reservoir
med	1	1	Reservoir
sigw	1	33	Readout
fur	2	23	Readout
sigx	2	14	Readout
hpr	3	8	Readout
perr	1	8	Readout
coma	1	7	Readout
arfm	2	6	Readout
sigm	1	6	Readout
yjbd	4	5	Readout
rsfa	2	5	Readout
ctsr	2	5	Readout
fnr	3	4	Readout
ysia	1	4	Readout
arar	1	4	Readout
glnr	2	3	Readout
rocr	1	3	Readout
mta	1	3	Readout
pyrr	2	2	Readout
ccpc	2	2	Readout
iolr	1	2	Readout
cssr	1	2	Readout
hutp	4	1	Readout
ytli	3	1	Readout
yvba	2	1	Readout
ylac	2	1	Readout
lytr	2	1	Readout
ywfk	1	1	Readout
sens	1	1	Readout
lmra	1	1	Readout
licr	1	1	Readout
hrca	1	1	Readout
gltr	1	1	Readout
gltc	1	1	Readout
gabr	1	1	Readout
dnaa	1	1	Readout
citr	1	1	Readout
adaa	1	1	Readout
apre	6	0	Readout_terminal
urea	5	0	Readout_terminal
sacb	5	0	Readout_terminal
npre	5	0	Readout_terminal
ldh	5	0	Readout_terminal
ilvb	5	0	Readout_terminal
citb	5	0	Readout_terminal
alss	5	0	Readout_terminal
ytmi	4	0	Readout_terminal
ybco	4	0	Readout_terminal
xyla	4	0	Readout_terminal
srfaa	4	0	Readout_terminal
sini	4	0	Readout_terminal
sboa	4	0	Readout_terminal
sacx	4	0	Readout_terminal
nasd	4	0	Readout_terminal
lyta	4	0	Readout_terminal
ispa	4	0	Readout_terminal
hmp	4	0	Readout_terminal
hemz	4	0	Readout_terminal
gpr	4	0	Readout_terminal
glya	4	0	Readout_terminal
glta	4	0	Readout_terminal
ftsa	4	0	Readout_terminal
cyda	4	0	Readout_terminal
bgls	4	0	Readout_terminal
ywnj	3	0	Readout_terminal
yvqi	3	0	Readout_terminal
yvaw	3	0	Readout_terminal
yusl	3	0	Readout_terminal
yqxm	3	0	Readout_terminal
yqjl	3	0	Readout_terminal
yoch	3	0	Readout_terminal
yjbc	3	0	Readout_terminal
xynp	3	0	Readout_terminal
wapa	3	0	Readout_terminal
uxac	3	0	Readout_terminal
tyrs	3	0	Readout_terminal
trxa	3	0	Readout_terminal
trpe	3	0	Readout_terminal
trep	3	0	Readout_terminal
tagd	3	0	Readout_terminal
ssub	3	0	Readout_terminal
sspe	3	0	Readout_terminal
spoivb	3	0	Readout_terminal
spo0f	3	0	Readout_terminal
sda	3	0	Readout_terminal
sacp	3	0	Readout_terminal
rocd	3	0	Readout_terminal
roca	3	0	Readout_terminal
resa	3	0	Readout_terminal
reca	3	0	Readout_terminal
rbsr	3	0	Readout_terminal
raph	3	0	Readout_terminal
rapd	3	0	Readout_terminal
rapc	3	0	Readout_terminal
pucj	3	0	Readout_terminal
phob	3	0	Readout_terminal
phoa	3	0	Readout_terminal
phes	3	0	Readout_terminal
nasb	3	0	Readout_terminal
nasa	3	0	Readout_terminal
mmsa	3	0	Readout_terminal
mala	3	0	Readout_terminal
licb	3	0	Readout_terminal
katx	3	0	Readout_terminal
hbs	3	0	Readout_terminal
gntr	3	0	Readout_terminal
glpf	3	0	Readout_terminal
geraa	3	0	Readout_terminal
gabp	3	0	Readout_terminal
epr	3	0	Readout_terminal
dra	3	0	Readout_terminal
dppa	3	0	Readout_terminal
dlta	3	0	Readout_terminal
degq	3	0	Readout_terminal
dctp	3	0	Readout_terminal
dacf	3	0	Readout_terminal
ctaa	3	0	Readout_terminal
comga	3	0	Readout_terminal
clpp	3	0	Readout_terminal
citz	3	0	Readout_terminal
citm	3	0	Readout_terminal
bofc	3	0	Readout_terminal
bmr	3	0	Readout_terminal
blt	3	0	Readout_terminal
bglp	3	0	Readout_terminal
argc	3	0	Readout_terminal
arae	3	0	Readout_terminal
araa	3	0	Readout_terminal
amye	3	0	Readout_terminal
acsa	3	0	Readout_terminal
yxze	2	0	Readout_terminal
yxkc	2	0	Readout_terminal
yxek	2	0	Readout_terminal
ywoe	2	0	Readout_terminal
ywoa	2	0	Readout_terminal
ywkc	2	0	Readout_terminal
ywka	2	0	Readout_terminal
ywjf	2	0	Readout_terminal
ywhe	2	0	Readout_terminal
ywcj	2	0	Readout_terminal
ywbn	2	0	Readout_terminal
yvyd	2	0	Readout_terminal
yvla	2	0	Readout_terminal
yvjb	2	0	Readout_terminal
yvgr	2	0	Readout_terminal
yvek	2	0	Readout_terminal
yuxh	2	0	Readout_terminal
yurh	2	0	Readout_terminal
ytxg	2	0	Readout_terminal
ytkd	2	0	Readout_terminal
yrrt	2	0	Readout_terminal
yrhh	2	0	Readout_terminal
yqxd	2	0	Readout_terminal
yoxa	2	0	Readout_terminal
yoaw	2	0	Readout_terminal
ynea	2	0	Readout_terminal
ymaa	2	0	Readout_terminal
ykvw	2	0	Readout_terminal
ykun	2	0	Readout_terminal
ykuf	2	0	Readout_terminal
ykol	2	0	Readout_terminal
yknw	2	0	Readout_terminal
ykla	2	0	Readout_terminal
yhjl	2	0	Readout_terminal
yhfl	2	0	Readout_terminal
yhcy	2	0	Readout_terminal
yhcn	2	0	Readout_terminal
yhcl	2	0	Readout_terminal
yhbh	2	0	Readout_terminal
yhag	2	0	Readout_terminal
yfkj	2	0	Readout_terminal
ydjk	2	0	Readout_terminal
ydfk	2	0	Readout_terminal
ydfj	2	0	Readout_terminal
ycza	2	0	Readout_terminal
ycic	2	0	Readout_terminal
ycia	2	0	Readout_terminal
ycec	2	0	Readout_terminal
ycdh	2	0	Readout_terminal
yccc	2	0	Readout_terminal
ybgj	2	0	Readout_terminal
ybak	2	0	Readout_terminal
xsa	2	0	Readout_terminal
xpt	2	0	Readout_terminal
vpr	2	0	Readout_terminal
vals	2	0	Readout_terminal
tuaa	2	0	Readout_terminal
thrz	2	0	Readout_terminal
thrs	2	0	Readout_terminal
taga	2	0	Readout_terminal
sunt	2	0	Readout_terminal
suna	2	0	Readout_terminal
sspn	2	0	Readout_terminal
sspd	2	0	Readout_terminal
sspb	2	0	Readout_terminal
sspa	2	0	Readout_terminal
spovg	2	0	Readout_terminal
spovaa	2	0	Readout_terminal
spoiir	2	0	Readout_terminal
spoiiga	2	0	Readout_terminal
spoiie	2	0	Readout_terminal
spoiiaa	2	0	Readout_terminal
spo0e	2	0	Readout_terminal
sips	2	0	Readout_terminal
rocg	2	0	Readout_terminal
rapg	2	0	Readout_terminal
rapa	2	0	Readout_terminal
qcra	2	0	Readout_terminal
pure	2	0	Readout_terminal
pura	2	0	Readout_terminal
puch	2	0	Readout_terminal
puca	2	0	Readout_terminal
ptsg	2	0	Readout_terminal
pta	2	0	Readout_terminal
psts	2	0	Readout_terminal
pssa	2	0	Readout_terminal
phri	2	0	Readout_terminal
phre	2	0	Readout_terminal
phod	2	0	Readout_terminal
pel	2	0	Readout_terminal
pcka	2	0	Readout_terminal
pbpx	2	0	Readout_terminal
pbpe	2	0	Readout_terminal
opue	2	0	Readout_terminal
oppa	2	0	Readout_terminal
nrga	2	0	Readout_terminal
nifs	2	0	Readout_terminal
nfra	2	0	Readout_terminal
nark	2	0	Readout_terminal
narg	2	0	Readout_terminal
nade	2	0	Readout_terminal
nadb	2	0	Readout_terminal
mrga	2	0	Readout_terminal
maen	2	0	Readout_terminal
lyte	2	0	Readout_terminal
lona	2	0	Readout_terminal
kinc	2	0	Readout_terminal
kinb	2	0	Readout_terminal
