# This file contains the list of genes (nodes) in the gene regulatory network
# of Homo sapiens.
# 
# The original network was built using the information available from
# 
# Gerstein MB, Kundaje A, Hariharan M, Landt SG, Yan KK, Cheng C, et al.
# Architecture of the human regulatory network derived from ENCODE data.
# Nature. 2012;489(7414):91–100. doi:10.1038/nature11245.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
EP300	17	2260	Reservoir
CTCF	13	1928	Reservoir
RAD21	9	1379	Reservoir
hsa-miR-548c-3p	1	1295	Reservoir
SP1	108	977	Reservoir
MYC	10	957	Reservoir
JUND	21	946	Reservoir
MAX	13	936	Reservoir
hsa-miR-9	5	928	Reservoir
SPI1	26	911	Reservoir
hsa-miR-124	3	843	Reservoir
hsa-miR-19a	34	838	Reservoir
USF1	6	789	Reservoir
hsa-miR-128	1	774	Reservoir
YY1	24	758	Reservoir
EBF1	45	734	Reservoir
E2F6	14	725	Reservoir
FOXA1	11	725	Reservoir
CEBPB	13	698	Reservoir
GATA2	26	686	Reservoir
TCF12	66	684	Reservoir
FOS	24	683	Reservoir
TBP	9	678	Reservoir
EGR1	29	654	Reservoir
hsa-miR-144	3	644	Reservoir
hsa-miR-338-5p	1	603	Reservoir
GABPA	34	602	Reservoir
hsa-miR-101	1	602	Reservoir
hsa-miR-330-3p	1	570	Reservoir
TCF4	75	552	Reservoir
JUN	16	552	Reservoir
SRF	36	551	Reservoir
PAX5	7	549	Reservoir
hsa-miR-153	1	549	Reservoir
hsa-miR-142-5p	26	533	Reservoir
NRF1	17	531	Reservoir
hsa-miR-145	3	527	Reservoir
hsa-miR-944	1	525	Reservoir
TAL1	37	517	Reservoir
BATF	11	515	Reservoir
E2F1	10	509	Reservoir
USF2	16	503	Reservoir
HNF4A	17	502	Reservoir
POU2F2	53	493	Reservoir
FOXA2	17	493	Reservoir
MAFK	20	491	Reservoir
hsa-miR-133a	1	491	Reservoir
BCL3	10	488	Reservoir
BCL11A	93	481	Reservoir
PBX3	31	479	Reservoir
STAT3	24	467	Reservoir
hsa-miR-17	34	464	Reservoir
HDAC2	17	462	Reservoir
NFKB1	12	461	Reservoir
hsa-miR-135a	2	458	Reservoir
hsa-miR-636	1	454	Reservoir
MEF2A	23	441	Reservoir
hsa-miR-24	1	435	Reservoir
NFYB	43	427	Reservoir
RXRA	22	424	Reservoir
SMC3	2	418	Reservoir
NR3C1	25	413	Reservoir
SIX5	8	408	Reservoir
ELF1	5	408	Reservoir
hsa-miR-300	1	398	Reservoir
ZNF263	3	394	Reservoir
GTF2B	7	390	Reservoir
NFYA	17	367	Reservoir
SUZ12	23	356	Reservoir
HNF4G	18	349	Reservoir
hsa-miR-129-5p	3	347	Reservoir
SIN3A	15	341	Reservoir
hsa-miR-22	2	329	Reservoir
TFAP2C	14	328	Reservoir
E2F4	8	310	Reservoir
IRF4	22	307	Reservoir
SMARCA4	5	307	Reservoir
hsa-miR-760	3	307	Reservoir
ZBTB33	15	306	Reservoir
ZEB1	18	305	Reservoir
hsa-miR-7	2	302	Reservoir
GATA1	14	301	Reservoir
SMARCB1	3	301	Reservoir
hsa-miR-1	1	300	Reservoir
STAT1	12	298	Reservoir
hsa-miR-1207-5p	2	289	Reservoir
hsa-miR-1207-3p	2	289	Reservoir
hsa-miR-129-3p	1	284	Reservoir
ATF3	5	280	Reservoir
hsa-miR-155	12	277	Reservoir
hsa-miR-30a	3	273	Reservoir
ETS1	51	272	Reservoir
hsa-miR-219-5p	1	270	Reservoir
MEF2C	49	269	Reservoir
hsa-miR-130a	1	268	Reservoir
ZBTB7A	24	263	Reservoir
SP2	20	259	Reservoir
ESR1	41	258	Reservoir
MAFF	5	257	Reservoir
