# This file contains the list of genes (nodes) in the gene regulatory network
# of Drosophila melanogaster.
# 
# The original network was built using the information available from
# 
# Roy S, Ernst J, Kharchenko PV, Kheradpour P, Negre N, Eaton ML, et al.
# Identification of functional elements and regulatory circuits by Drosophila
# modENCODE. Science (New York, NY). 2010;330(6012):1787–97.
# doi:10.1126/science.1198374.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
Myb	144	5126	Reservoir
BEAF-32	116	4543	Reservoir
CTCF	90	3899	Reservoir
Trl	39	3412	Reservoir
phol	71	3098	Reservoir
Med	13	2665	Reservoir
Dref	163	2573	Reservoir
CG3227	134	2209	Reservoir
D	52	2153	Reservoir
su(Hw)	121	2091	Reservoir
E2f2	57	2039	Reservoir
CG15514	186	2014	Reservoir
Adf1	103	2010	Reservoir
CG17153	164	1984	Reservoir
CG17359	166	1923	Reservoir
CG9797	153	1854	Reservoir
Chrac-16	150	1802	Reservoir
CG14710	165	1742	Reservoir
da	66	1729	Reservoir
CG5245	151	1674	Reservoir
z	112	1656	Reservoir
CG8944	168	1643	Reservoir
Su(var)3-7	157	1639	Reservoir
CG31365	160	1634	Reservoir
CG3995	149	1606	Reservoir
mod(mdg4)	114	1606	Reservoir
pfk	146	1588	Reservoir
CG8478	155	1582	Reservoir
Sry-beta	148	1536	Reservoir
pita	166	1529	Reservoir
CG30020	156	1527	Reservoir
E(var)3-9	148	1521	Reservoir
wek	148	1520	Reservoir
Dp	155	1508	Reservoir
CG17361	140	1500	Reservoir
CG4936	153	1499	Reservoir
CG9883	148	1496	Reservoir
Ada2b	155	1491	Reservoir
twi	28	1491	Reservoir
Su(var)2-10	155	1465	Reservoir
CG3065	134	1444	Reservoir
tgo	143	1442	Reservoir
D1	138	1430	Reservoir
CG6654	150	1426	Reservoir
CG17328	135	1422	Reservoir
CG11970	147	1421	Reservoir
trem	149	1417	Reservoir
CG4282	137	1413	Reservoir
CG17829	128	1408	Reservoir
Su(var)2-HP2	139	1395	Reservoir
CG17385	147	1378	Reservoir
CG9705	135	1378	Reservoir
CG11560	116	1356	Reservoir
Bap170	137	1350	Reservoir
CG3847	146	1336	Reservoir
CG4854	122	1324	Reservoir
CG1603	135	1316	Reservoir
CG7357	133	1315	Reservoir
CG2116	140	1312	Reservoir
CG3281	139	1297	Reservoir
CG17802	116	1293	Reservoir
CG2199	136	1291	Reservoir
CG10267	123	1282	Reservoir
Sry-delta	121	1274	Reservoir
YL-1	117	1269	Reservoir
pho	16	1258	Reservoir
CG7839	121	1250	Reservoir
MTA1-like	144	1242	Reservoir
CG8924	153	1241	Reservoir
Dsp1	64	1238	Reservoir
CG17912	120	1205	Reservoir
CG11723	92	1202	Reservoir
CG7372	133	1200	Reservoir
CG17612	123	1190	Reservoir
polybromo	127	1182	Reservoir
CG11696	115	1167	Reservoir
Nf-YA	124	1147	Reservoir
CG33213	86	1126	Reservoir
exd	106	1124	Reservoir
Dek	124	1098	Reservoir
her	103	1092	Reservoir
Meics	119	1091	Reservoir
CG12391	127	1090	Reservoir
CG11504	126	1079	Reservoir
CG15436	106	1079	Reservoir
CG5180	103	1075	Reservoir
Kr	29	1073	Reservoir
Lhr	93	1068	Reservoir
CG12155	99	1063	Reservoir
CG1024	123	1057	Reservoir
wdn	128	1049	Reservoir
CG12659	82	1035	Reservoir
CG8359	101	1030	Reservoir
Dip2	112	1022	Reservoir
CG7928	120	1015	Reservoir
zf30C	109	1000	Reservoir
CG12942	77	998	Reservoir
E(z)	33	993	Reservoir
mxc	119	992	Reservoir
CG1602	98	985	Reservoir
CG4730	102	975	Reservoir
pzg	117	970	Reservoir
cg	117	962	Reservoir
sna	34	945	Reservoir
dalao	106	940	Reservoir
CG8290	97	926	Reservoir
row	106	921	Reservoir
Hmr	113	919	Reservoir
hang	115	913	Reservoir
CG4360	114	909	Reservoir
CG14965	94	900	Reservoir
CG10904	77	900	Reservoir
CG6689	90	897	Reservoir
Cenp-C	83	892	Reservoir
Su(H)	104	889	Reservoir
CG1647	94	861	Reservoir
CG10565	105	858	Reservoir
lola	120	857	Reservoir
Bgb	86	848	Reservoir
CG4424	92	842	Reservoir
TFAM	79	842	Reservoir
CG4820	78	840	Reservoir
crp	112	834	Reservoir
ash1	105	832	Reservoir
CG6791	106	825	Reservoir
CG6854	97	825	Reservoir
Set2	96	815	Reservoir
woc	102	799	Reservoir
chif	115	798	Reservoir
CG2875	76	791	Reservoir
CG6905	86	767	Reservoir
Taf1	86	761	Reservoir
E(bx)	94	757	Reservoir
Jarid2	86	750	Reservoir
stwl	110	746	Reservoir
hb	27	737	Reservoir
CG18011	74	722	Reservoir
MESR4	88	709	Reservoir
Stat92E	97	672	Reservoir
stc	84	669	Reservoir
CG6808	47	667	Reservoir
psq	100	655	Reservoir
CG10274	81	645	Reservoir
CG6683	69	641	Reservoir
CG12299	83	626	Reservoir
NC2beta	44	623	Reservoir
D19B	85	618	Reservoir
lid	93	610	Reservoir
CG6254	67	601	Reservoir
CG1792	55	597	Reservoir
CG17568	69	591	Reservoir
CG1529	54	588	Reservoir
h	6	587	Reservoir
CG14711	53	580	Reservoir
chm	73	573	Reservoir
jigr1	93	555	Reservoir
CG3407	80	552	Reservoir
CG4707	48	551	Reservoir
cad	14	546	Reservoir
jumu	15	544	Reservoir
CG2202	56	543	Reservoir
CG1832	72	541	Reservoir
CG11906	67	534	Reservoir
HmgD	59	519	Reservoir
CG9793	44	508	Reservoir
brat	90	507	Reservoir
E2f	44	485	Reservoir
Mes2	59	482	Reservoir
p53	53	447	Reservoir
CG18764	44	443	Reservoir
chinmo	4	435	Reservoir
CG4617	54	430	Reservoir
Mad	56	426	Reservoir
Deaf1	51	423	Reservoir
fs(1)h	77	418	Reservoir
MBD-R2	41	411	Reservoir
osa	64	399	Reservoir
aop	48	399	Reservoir
CG17186	29	394	Reservoir
CG32767	74	389	Reservoir
Mes4	20	378	Reservoir
CG13123	24	374	Reservoir
Max	22	367	Reservoir
Ssrp	30	365	Reservoir
CG10321	55	348	Reservoir
CG31441	27	346	Reservoir
Nf-YB	40	342	Reservoir
CG34406	36	338	Reservoir
CG9418	35	333	Reservoir
Mef2	13	331	Reservoir
grau	42	327	Reservoir
run	38	322	Reservoir
CG7101	48	313	Reservoir
dwg	31	310	Reservoir
tin	29	308	Reservoir
CG9437	28	293	Reservoir
en	41	283	Reservoir
CG18476	31	283	Reservoir
BtbVII	54	279	Reservoir
CG15601	40	271	Reservoir
disco	38	270	Reservoir
sug	25	266	Reservoir
CG9948	22	264	Reservoir
slp1	41	261	Reservoir
retn	32	260	Reservoir
Xbp1	19	234	Reservoir
CG1620	10	220	Reservoir
prd	18	217	Reservoir
Gug	42	214	Reservoir
CG31388	19	214	Reservoir
CG10366	23	211	Reservoir
CG10543	37	198	Reservoir
CG12219	30	192	Reservoir
gfzf	33	186	Reservoir
GATAd	25	183	Reservoir
inv	25	180	Reservoir
CG1621	15	180	Reservoir
CG2712	26	179	Reservoir
tll	23	179	Reservoir
eve	21	179	Reservoir
CG9305	16	178	Reservoir
CG10949	20	177	Reservoir
CG31224	33	175	Reservoir
btn	15	172	Reservoir
Ubx	11	172	Reservoir
ttk	13	171	Reservoir
CG14860	16	170	Reservoir
Smr	32	169	Reservoir
NFAT	31	164	Reservoir
bcd	5	164	Reservoir
G9a	26	158	Reservoir
dl	2	152	Reservoir
CG13775	16	148	Reservoir
CG14962	11	148	Reservoir
cic	39	146	Reservoir
CG5669	28	146	Reservoir
zfh1	18	142	Reservoir
sens	3	141	Reservoir
CG3163	16	121	Reservoir
pnr	38	118	Reservoir
Mnf	32	116	Reservoir
zen	16	115	Reservoir
CG17806	25	114	Reservoir
CG34422	19	113	Reservoir
CG11902	9	111	Reservoir
CG1845	23	109	Reservoir
az2	7	107	Reservoir
hkb	3	107	Reservoir
CG3838	33	105	Reservoir
srp	16	105	Reservoir
CG8145	12	103	Reservoir
gt	12	101	Reservoir
EcR	13	98	Reservoir
fu2	20	96	Reservoir
ftz	17	96	Reservoir
Abd-B	51	93	Reservoir
apt	28	93	Reservoir
