# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Bacillus subtilis.
# 
# The original network was built using the information available from
# 
# Sierro N, Makita Y, de Hoon M, Nakai K. DBTBS: a database of transcriptional
# regulation in Bacillus subtilis containing upstream intergenic conservation
# information. Nucleic acids research. 2008;36(Database issue):D93–6.
# doi:10.1093/nar/gkm910.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
rok	rok	-
rok	yxaj	-
rok	yjcn	-
rok	sunt	-
rok	yvaw	-
rok	comk	-
rok	yybn	-
rok	yydh	-
rok	suna	-
rok	sboa	-
lacr	laca	-
cody	urea	-
cody	dppa	-
cody	ptb	-
cody	hutp	-
cody	gabp	-
cody	hag	-
cody	srfaa	-
cody	comk	-
cody	ybge	-
cody	rapc	-
cody	ilvd	-
cody	citb	-
cody	acsa	-
cody	ilva	-
cody	ilvb	-
trnsl-val2	vals	+
abrb	apre	-
abrb	rok	-
abrb	sigh	-
abrb	ybco	-
abrb	yvla	-
abrb	sigw	-
abrb	spo0e	-
abrb	yvqi	-
abrb	yoch	-
abrb	hpr	+
abrb	yoaw	-
abrb	abrb	-
abrb	yxbc	-
abrb	yxbb	-
abrb	sens	-
abrb	citb	+
abrb	spovg	-
abrb	yrhi	-
abrb	ftsa	-
abrb	dppa	-
abrb	hutp	+
abrb	ycnk	-
abrb	yvaw	-
abrb	comk	-
abrb	pbpe	-
abrb	sini	-
abrb	argc	+
abrb	yvba	-
abrb	kinb	-
abrb	yxze	-
abrb	yknw	-
abrb	rbsr	+
abrb	sboa	-
sens	hpr	+
sens	sens	+
yrxa	nadb	-
yrxa	nifs	-
trnd-gly	glyq	+
siga	cdd	+
siga	clpx	+
siga	ybco	+
siga	ysia	+
siga	cssr	+
siga	opuba	+
siga	clpp	+
siga	ald	+
siga	ccda	+
siga	pta	+
siga	codv	+
siga	ycdh	+
siga	fbp	+
siga	yfkj	+
siga	yvek	+
siga	ykuf	+
siga	resa	+
siga	clpe	+
siga	ykru	+
siga	resd	+
siga	scr	+
siga	ggaa	+
siga	yvgr	+
siga	xyla	+
siga	iolr	+
siga	ctaa	+
siga	rrna-16s	+
siga	yvqi	+
siga	ydfj	+
siga	veg	+
siga	ytra	+
siga	ycic	+
siga	abrb	+
siga	ycia	+
siga	spoiiga	+
siga	sigx	+
siga	mene	+
siga	gutb	+
siga	spee	+
siga	ylac	+
siga	menb	+
siga	arar	+
siga	ldh	+
siga	sacx	+
siga	nark	+
siga	ftsa	+
siga	spoiie	+
siga	dppa	+
siga	gudb	+
siga	hema	+
siga	yjci	+
siga	nade	+
siga	ftsh	+
siga	hemz	+
siga	araa	+
siga	yhcl	+
siga	arae	+
siga	yqdb	+
siga	kinb	+
siga	sdhc	+
siga	uxac	+
siga	csba	+
siga	ykrw	+
siga	phri	+
siga	yhjl	+
siga	gntz	+
siga	wapa	+
siga	spoiiij	+
siga	rocr	+
siga	phre	+
siga	yflg	+
siga	ptsh	+
siga	yaaj	+
siga	tagd	+
siga	acua	+
siga	rbsr	+
siga	guad	+
siga	ptsg	+
siga	sboa	+
siga	gtab	+
siga	gapb	+
siga	tuaa	+
siga	liag	+
siga	sigd	+
siga	ezra	+
siga	gltx	+
siga	sigh	+
siga	lrpc	+
siga	ytkd	+
siga	ywbi	+
siga	yaaa	+
siga	yusl	+
siga	ykun	+
siga	arfm	+
siga	yvba	+
siga	ywjf	+
siga	cyda	+
siga	pmi	+
siga	tyrs	+
siga	yoch	+
siga	yhcy	+
siga	psts	+
siga	blt	+
siga	med	+
siga	ssub	+
siga	spoiiie	+
siga	icd	+
siga	sigm	+
siga	phob	+
siga	ytmi	+
siga	addb	+
siga	mtra	+
siga	ylxm	+
siga	dctp	+
siga	bsrb	+
siga	ywfk	+
siga	reca	+
siga	cymr	+
siga	comq	+
siga	gltr	+
siga	sinr	+
siga	citz	+
siga	rsbr	+
siga	hutp	+
siga	pbpf	+
siga	lytr	+
siga	comk	+
siga	yurh	+
siga	rapa	+
siga	asd	+
siga	coma	+
siga	comc	+
siga	argc	+
siga	cspb	+
siga	ispa	+
siga	htpg	+
siga	ywka	+
siga	phes	+
siga	mta	+
siga	ykrv	+
siga	cysh	+
siga	cysk	+
siga	flgb	+
siga	rrnd-16s	+
siga	bglc	+
siga	opue	+
siga	comea	+
siga	pbpd	+
siga	ynei	+
siga	dhba	+
siga	ykvw	+
siga	rpob	+
siga	xyna	+
siga	menf	+
siga	drm	+
siga	rpoe	+
siga	dra	+
siga	bglp	+
siga	bgls	+
siga	yxek	+
siga	lyte	+
siga	yfmp	+
siga	hbs	+
siga	taga	+
siga	degq	+
siga	yqxd	+
siga	degs	+
siga	rncs	+
siga	guaa	+
siga	sacb	+
siga	puch	+
siga	pucj	+
siga	sini	+
siga	pgk	+
siga	fabha	+
siga	ycec	+
siga	glta	+
siga	qcra	+
siga	ahpc	+
siga	sacp	+
siga	ante	+
siga	gntr	+
siga	ybgj	+
siga	yaab	+
siga	odha	+
siga	gltc	+
siga	ykla	+
