# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Homo sapiens.
# 
# The original network was built using the information available from
# 
# Gerstein MB, Kundaje A, Hariharan M, Landt SG, Yan KK, Cheng C, et al.
# Architecture of the human regulatory network derived from ENCODE data.
# Nature. 2012;489(7414):91–100. doi:10.1038/nature11245.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
SP1	DUOXA1	
SP1	IFT27	
SP1	HSPA5	
SP1	HIST1H4D	
SP1	HIST1H4I	
SP1	HIST1H4H	
SP1	FBXO18	
SP1	C13orf18	
SP1	ANP32E	
SP1	PSMB9	
SP1	JPH4	
SP1	UBAC1	
SP1	TYK2	
SP1	AGT	
SP1	SQLE	
SP1	KIAA0907	
SP1	CRKL	
SP1	PSME1	
SP1	NR0B2	
SP1	GPR183	
SP1	PIK3CG	
SP1	ZSWIM4	
SP1	SPTLC2	
SP1	ZSWIM1	
SP1	SPN	
SP1	ZSWIM3	
SP1	TMEM57	
SP1	OFD1	
SP1	YAP1	
SP1	TMEM53	
SP1	ZMYM2	
SP1	ZNF689	
SP1	PLEKHA6	
SP1	ZMYM5	
SP1	SP1	
SP1	SP2	
SP1	CEACAM6	
SP1	ZNF687	
SP1	EHF	
SP1	SFRP1	
SP1	NMU	
SP1	SMARCD2	
SP1	IQCE	
SP1	IQCD	
SP1	OSBPL2	
SP1	NEAT1	
SP1	IQCH	
SP1	SDF2L1	
SP1	GATA1	
SP1	C19orf55	
SP1	hsa-miR-20a*	
SP1	WHSC1	
SP1	LITAF	
SP1	SNAP29	
SP1	PRR11	
SP1	PRR14	
SP1	PRRC1	
SP1	LAT	
SP1	ZNF774	
SP1	KLC3	
SP1	PAIP2B	
SP1	CDS2	
SP1	IL7R	
SP1	RASGRP3	
SP1	MYO3B	
SP1	EVL	
SP1	MZT2B	
SP1	FAM158A	
SP1	HSP90B1	
SP1	GPR18	
SP1	LOC100132288	
SP1	RAPGEFL1	
SP1	SAMSN1	
SP1	STIP1	
SP1	APOA1	
SP1	APOA2	
SP1	NKG7	
SP1	ARNTL	
SP1	NPIP	
SP1	CHCHD6	
SP1	MYBPH	
SP1	APOM	
