# This file contains the list of regulation interactions (graph edges) that
# define the gene regulatory network of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. regulator gene
# 2. target or regulated gene
# 3. If available in the original source, effect of the regulation: activatory
# (+) or inhibitory (-). Context dependent or unknown effects where assumed to
# be activatory.
# 
Source	Target	Mode
xapR	xapA	+
xapR	xapB	+
srlR	srlB	-
srlR	srlA	-
srlR	srlE	-
srlR	srlD	-
srlR	gutQ	-
srlR	srlR	-
srlR	gutM	-
bluR	ymgC	-
bluR	ariR	-
bluR	ymgA	-
bluR	ycgZ	-
fecI	fecD	+
fecI	fecE	+
fecI	fecB	+
fecI	fecC	+
fecI	fecA	+
rcsA	yjbG	+
rcsA	yjbF	+
rcsA	yjbE	+
rcsA	csgD	-
rcsA	rcsA	+
rcsA	wzb	+
rcsA	yjbH	+
rcsA	flhC	-
rcsA	flhD	-
rcsA	csgG	-
rcsA	csgF	-
rcsA	csgE	-
rcsA	wza	+
rcsA	wcaA	+
rcsA	wzc	+
rcsA	wcaB	+
rcsB	lolA	+
rcsB	ydeP	+
rcsB	flhC	-
rcsB	ydeO	+
rcsB	flhD	-
rcsB	wcaA	+
rcsB	dctR	+
rcsB	wcaB	+
rcsB	yjbG	+
rcsB	yjbF	+
rcsB	yjbE	+
rcsB	bglG	+
rcsB	bdm	+
rcsB	yjbH	+
rcsB	cadA	+
rcsB	cadB	+
rcsB	wzb	+
rcsB	wzc	+
rcsB	wza	+
rcsB	rarA	+
rcsB	rcsA	+
rcsB	osmC	+
rcsB	osmB	+
rcsB	rprA	+
rcsB	leuO	+
rcsB	bglB	+
rcsB	gadA	+
rcsB	gadB	+
rcsB	gadC	+
rcsB	aslB	+
rcsB	hdeD	+
rcsB	gadX	+
rcsB	hdeB	+
rcsB	hdeA	+
rcsB	bglF	+
rcsB	yhiD	+
rcsB	sra	+
rcsB	ftsA	+
rcsB	yhiM	+
rcsB	slp	+
rcsB	safA	+
rcsB	adiC	+
rcsB	csgG	-
rcsB	csgF	-
rcsB	csgE	-
rcsB	csgD	-
rcsB	ftsZ	+
rcsB	gadY	+
cspA	hns	+
cspA	gyrA	+
hupA	galT	-
hupA	tyrP	-
hupA	mtr	-
hupA	seqA	-
hupA	pgm	-
hupA	galE	-
hupA	micF	+
hupA	galM	-
hupA	galK	-
hupB	galT	-
hupB	tyrP	-
hupB	mtr	-
hupB	seqA	-
hupB	pgm	-
hupB	galE	-
hupB	micF	+
hupB	galM	-
hupB	galK	-
kdpE	kdpA	+
kdpE	kdpC	+
kdpE	kdpB	+
kdpE	kdpF	+
adiY	gadA	+
adiY	gadB	+
adiY	gadC	+
adiY	adiA	+
adiY	gadX	+
adiY	gltB	+
adiY	gltD	+
adiY	gltF	+
arcA	rhaT	-
arcA	sroD	-
arcA	acnB	-
arcA	acnA	-
arcA	moeB	+
arcA	moeA	+
arcA	fadE	-
arcA	fadD	-
arcA	fadJ	-
arcA	fadI	-
arcA	fadH	-
arcA	ydeA	-
arcA	aldA	-
arcA	fadL	-
arcA	fumA	-
arcA	fumB	+
arcA	fumC	-
arcA	gadA	+
arcA	cyoC	-
arcA	gadX	+
arcA	cyoA	-
arcA	ptsG	-
arcA	ssb	-
arcA	fadB	-
arcA	hemA	+
arcA	fadA	-
arcA	nuoB	-
arcA	nuoC	-
arcA	nuoA	-
arcA	nuoF	-
arcA	nuoG	-
arcA	nuoE	-
arcA	nuoJ	-
arcA	nuoK	-
arcA	nuoH	-
arcA	nuoI	-
arcA	nuoN	-
arcA	nuoL	-
arcA	nuoM	-
arcA	mdh	-
arcA	rplV	-
arcA	rplW	-
arcA	rplP	-
arcA	rplD	-
arcA	rplB	-
arcA	rplC	-
arcA	iraM	+
arcA	cyoD	-
arcA	citD	-
arcA	citE	-
arcA	sucC	+
arcA	uvrA	-
arcA	yccB	+
arcA	cydA	+
arcA	cydB	+
arcA	cydC	+
arcA	cydD	+
arcA	rpoS	-
arcA	caiT	+
arcA	prfA	+
arcA	ybdN	+
arcA	dcuC	+
arcA	oppA	-
arcA	caiE	+
arcA	caiD	+
arcA	caiC	+
arcA	caiB	+
arcA	caiA	+
arcA	sodA	-
arcA	ndh	+
arcA	fnr	-
arcA	grcA	+
arcA	treB	+
arcA	oppC	-
arcA	dpiB	+
arcA	dpiA	+
arcA	oppB	-
arcA	gltA	-
arcA	glcE	-
arcA	glcF	-
arcA	glcG	-
arcA	glcA	-
arcA	glcB	-
arcA	oppD	-
arcA	citX	-
arcA	lldR	-
arcA	rpsC	-
arcA	oppF	-
arcA	rpsJ	-
arcA	rpsS	-
arcA	rpsQ	-
arcA	citC	-
arcA	appC	+
arcA	appB	+
arcA	appA	+
arcA	citG	-
arcA	hybG	-
arcA	hybF	-
arcA	hybE	-
arcA	hybD	-
arcA	hybC	-
arcA	hybB	-
arcA	prmC	+
arcA	hybO	-
arcA	pflB	+
arcA	cadA	-
arcA	cadB	-
arcA	treC	+
arcA	xylR	+
arcA	puuD	-
arcA	dctA	-
arcA	puuR	-
arcA	focA	+
arcA	rpmC	-
arcA	ubiC	-
arcA	ubiA	-
arcA	rutB	+
arcA	hyaE	+
arcA	hybA	-
arcA	gatY	-
arcA	gatZ	-
arcA	rutC	+
arcA	sdhA	+
arcA	rutA	+
arcA	rutG	+
arcA	rutF	+
arcA	rutE	+
arcA	rutD	+
arcA	gatD	-
arcA	sdhC	+
arcA	sdhB	+
arcA	cyoE	-
arcA	gatA	-
arcA	gatB	-
arcA	gatC	-
arcA	aceK	-
arcA	cyoB	-
arcA	glpD	-
arcA	aceB	-
arcA	aceA	-
arcA	aceF	-
arcA	aceE	-
arcA	sdhD	+
arcA	icd	-
arcA	lldP	-
arcA	puuA	-
arcA	ackA	+
arcA	lldD	-
arcA	glcD	-
arcA	hyaB	+
arcA	hyaC	+
arcA	citF	-
arcA	hyaA	+
arcA	hyaF	+
arcA	hyaD	+
arcA	betT	-
arcA	arcZ	-
arcA	sucA	+
arcA	betB	-
arcA	betA	-
arcA	sucB	+
arcA	glpA	-
arcA	sucD	+
arcA	glpC	-
arcA	glpB	-
arcA	betI	-
arcA	lpd	-
arcA	tpx	-
fadR	fadJ	-
fadR	sroD	-
fadR	fabB	+
fadR	fadB	-
fadR	fadA	-
fadR	fabA	+
fadR	fadE	-
fadR	fadD	-
fadR	uspA	-
fadR	iclR	+
fadR	fadH	-
fadR	fadI	-
fadR	fadM	-
fadR	fadL	-
fis	queA	+
fis	rsmA	+
fis	yoaG	-
fis	acnB	-
fis	nirD	-
fis	aspV	+
fis	yfaE	+
fis	dmsA	-
fis	nirC	-
fis	nirB	-
fis	aldB	-
fis	fis	-
fis	marB	+
fis	fumB	-
fis	ptsG	+
fis	katE	-
fis	deoC	+
fis	osmE	-
fis	rrsE	+
fis	gadA	-
fis	gadB	-
fis	gadC	-
fis	leuV	+
fis	leuW	+
fis	leuT	+
fis	gadX	-
fis	leuP	+
fis	leuQ	+
fis	rrfB	+
fis	rrfC	+
fis	rrfA	+
fis	rrfF	+
fis	rrfG	+
fis	leuX	+
fis	rrfE	+
fis	crp	-
fis	dps	-
fis	glpT	+
fis	flxA	+
fis	ygjG	?
fis	dmsB	-
fis	yjcH	-
fis	fadA	+
fis	trg	+
fis	nuoB	+
fis	nuoC	+
fis	yhcH	-
fis	nuoA	+
fis	nuoF	+
fis	nuoG	+
fis	nuoE	+
fis	nuoJ	+
fis	nuoK	+
fis	nuoH	+
fis	nuoI	+
fis	nuoN	+
fis	nuoL	+
fis	nuoM	+
fis	nanK	-
fis	tyrV	+
fis	tyrU	+
fis	tyrT	+
fis	nanA	-
fis	dmsC	-
fis	nanE	-
fis	hlyE	-
fis	proP	+
fis	proM	+
fis	rplM	-
fis	proK	+
fis	hisR	+
fis	deoA	+
fis	mazF	+
fis	nrdA	+
fis	nrdB	+
fis	mazG	+
fis	metT	+
fis	metU	+
fis	metY	+
fis	trmA	+
fis	yeaR	-
fis	osmY	-
fis	cysG	-
fis	bglB	-
fis	bglG	-
fis	bglF	-
fis	deoB	+
fis	argX	+
fis	ndh	+
fis	sra	+
fis	rimP	+
