# This file contains the list of genes (nodes) in the gene regulatory network
# of Escherichia coli.
# 
# The original network was built using the information available from
# 
# Keseler IM, Collado-Vides J, Santos-Zavaleta A, Peralta-Gil M, Gama-Castro S,
# Muñiz-Rascado L, et al. EcoCyc: a comprehensive database of Escherichia coli
# biology. Nucleic acids research. 2011;39(Database issue):D583–90.
# doi:10.1093/nar/gkq1143.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
rpoD	4	2289	Reservoir
rpoE	2	547	Reservoir
crp	2	480	Reservoir
rpoH	10	449	Reservoir
rpoS	6	317	Reservoir
fnr	5	294	Reservoir
fis	5	222	Reservoir
ihfA	4	216	Reservoir
ihfB	3	216	Reservoir
fliA	6	198	Reservoir
hns	4	179	Reservoir
rpoN	2	179	Reservoir
arcA	2	168	Reservoir
fur	4	129	Reservoir
dksA	2	114	Reservoir
lrp	4	99	Reservoir
flhC	16	80	Reservoir
flhD	15	80	Reservoir
cra	1	78	Reservoir
cpxR	1	56	Reservoir
phoP	1	54	Reservoir
lexA	1	54	Reservoir
rcsB	2	48	Reservoir
marA	7	36	Reservoir
soxS	4	36	Reservoir
phoB	1	36	Reservoir
gadE	10	35	Reservoir
oxyR	3	31	Reservoir
gadX	13	27	Reservoir
rob	2	24	Reservoir
fliZ	7	20	Reservoir
leuO	5	19	Reservoir
ompR	4	17	Reservoir
rcsA	4	15	Reservoir
rutR	2	15	Reservoir
gadW	8	13	Reservoir
evgA	3	13	Reservoir
argP	1	13	Reservoir
cytR	2	11	Reservoir
torR	1	11	Reservoir
dnaA	1	11	Reservoir
galS	3	9	Reservoir
galR	2	9	Reservoir
adiY	1	8	Reservoir
ecpR	2	7	Reservoir
srlR	4	6	Reservoir
gutM	4	6	Reservoir
rhaS	4	5	Reservoir
hdfR	3	5	Reservoir
sdiA	1	5	Reservoir
ydeO	6	4	Reservoir
stpA	3	4	Reservoir
bglJ	3	4	Reservoir
mqsA	2	3	Reservoir
qseB	1	3	Reservoir
marR	7	2	Reservoir
mazF	5	2	Reservoir
mazE	5	2	Reservoir
yafQ	3	2	Reservoir
soxR	3	2	Reservoir
dinJ	3	2	Reservoir
relE	2	2	Reservoir
relB	2	2	Reservoir
mqsR	2	2	Reservoir
cspA	1	2	Reservoir
rhaR	4	1	Reservoir
hipB	4	1	Reservoir
hipA	4	1	Reservoir
yoeB	2	1	Reservoir
yefM	2	1	Reservoir
narL	3	121	Readout
narP	1	49	Readout
glnG	4	43	Readout
pdhR	5	41	Readout
argR	1	36	Readout
nagC	2	34	Readout
purR	2	30	Readout
iscR	1	30	Readout
fhlA	5	29	Readout
cysB	2	23	Readout
csgD	14	22	Readout
metJ	2	15	Readout
nac	4	14	Readout
fadR	1	14	Readout
yjiE	1	13	Readout
paaX	1	12	Readout
gntR	1	12	Readout
hyfR	4	11	Readout
tyrR	2	11	Readout
trpR	1	11	Readout
dpiA	5	10	Readout
caiF	5	10	Readout
malT	4	10	Readout
appY	4	10	Readout
araC	2	10	Readout
rstA	1	10	Readout
agaR	1	10	Readout
yiaJ	4	9	Readout
dcuR	4	9	Readout
mlc	3	9	Readout
hupB	3	9	Readout
cbl	3	9	Readout
hupA	2	9	Readout
nrdR	1	9	Readout
glpR	1	9	Readout
mlrA	4	8	Readout
lsrR	2	8	Readout
sgrR	1	8	Readout
nanR	1	8	Readout
uxuR	3	7	Readout
tdcR	2	7	Readout
baeR	2	7	Readout
ulaR	1	7	Readout
exuR	1	7	Readout
cueR	1	7	Readout
tdcA	5	6	Readout
glcC	4	6	Readout
nhaR	3	6	Readout
zur	2	6	Readout
mhpR	2	6	Readout
idnR	2	6	Readout
fucR	2	6	Readout
pspF	1	6	Readout
xylR	3	5	Readout
nikR	3	5	Readout
creB	3	5	Readout
rbsR	2	5	Readout
fecI	2	5	Readout
csiR	2	5	Readout
chbR	2	5	Readout
rpiR	1	5	Readout
mprA	1	5	Readout
mntR	1	5	Readout
cusR	1	5	Readout
ascG	1	5	Readout
prpR	3	4	Readout
metR	1	4	Readout
mcbR	1	4	Readout
kdpE	1	4	Readout
gcvA	1	4	Readout
betI	3	3	Readout
lacI	2	3	Readout
asnC	2	3	Readout
ada	2	3	Readout
uidR	1	3	Readout
iclR	1	3	Readout
dhaR	1	3	Readout
cynR	1	3	Readout
acrR	1	3	Readout
cadC	5	2	Readout
mtlR	4	2	Readout
bolA	4	2	Readout
zraR	2	2	Readout
treR	2	2	Readout
murR	2	2	Readout
melR	2	2	Readout
malI	2	2	Readout
lldR	2	2	Readout
kdgR	2	2	Readout
envR	2	2	Readout
dsdC	2	2	Readout
yqhC	1	2	Readout
xapR	1	2	Readout
rtcR	1	2	Readout
rcnR	1	2	Readout
pepA	1	2	Readout
mngR	1	2	Readout
arsR	1	2	Readout
putA	3	1	Readout
zntR	2	1	Readout
nemR	2	1	Readout
ilvY	2	1	Readout
feaR	2	1	Readout
comR	2	1	Readout
yqjI	1	1	Readout
slyA	1	1	Readout
lysR	1	1	Readout
accB	1	1	Readout
csgG	16	0	Readout_terminal
csgF	15	0	Readout_terminal
csgE	15	0	Readout_terminal
yhiD	13	0	Readout_terminal
gadA	13	0	Readout_terminal
micF	12	0	Readout_terminal
