# This file contains the list of genes (nodes) in the gene regulatory network
# of Saccharomyces cerevisiae.
# 
# The original network was built using the information available from
# 
# Teixeira MC, Monteiro PT, Guerreiro JF, Gonçalves JP, Mira NP, Dos Santos
# SC, et al. The YEASTRACT database: an upgraded information system for the
# analysis of gene and genomic transcription regulation in Saccharomyces
# cerevisiae.      Nucleic acids research. 2014;42(1):D161–6.
# doi:10.1093/nar/gkt1015.
# 
# Columns:
# 1. genes name as it appears in the database
# 2. in-degree of that node (ignoring self-loops)
# 3. out degree of that node (ignoring self-loops)
# 4. the substructure of the network where the node is found: `Reservoir`,
# `Readout`, `Readout_terminal` or `Other`
# 
# 
Gene	in-degree	out-degree	type
ace2	28	4774	Reservoir
sfp1	27	4302	Reservoir
ste12	30	3841	Reservoir
tec1	61	3816	Reservoir
msn2	90	3380	Reservoir
ash1	32	3185	Reservoir
rap1	19	2997	Reservoir
abf1	17	2806	Reservoir
gcn4	29	2803	Reservoir
bas1	28	2749	Reservoir
cst6	33	2695	Reservoir
tup1	36	2660	Reservoir
snf6	23	2640	Reservoir
yrm1	13	2601	Reservoir
msn4	63	2558	Reservoir
yap1	57	2358	Reservoir
sok2	54	2255	Reservoir
sin4	8	2232	Reservoir
cin5	38	2180	Reservoir
snf2	17	2081	Reservoir
swi5	39	1939	Reservoir
spt20	19	1937	Reservoir
spt23	13	1826	Reservoir
swi3	13	1821	Reservoir
spt10	9	1793	Reservoir
sin3	23	1782	Reservoir
rpn4	35	1767	Reservoir
ixr1	58	1732	Reservoir
hsf1	13	1722	Reservoir
mig3	49	1669	Reservoir
mcm1	35	1668	Reservoir
gcr1	72	1613	Reservoir
hap2	26	1606	Reservoir
arr1	11	1599	Reservoir
cbf1	30	1522	Reservoir
zap1	23	1499	Reservoir
sir2	9	1493	Reservoir
hfi1	21	1444	Reservoir
spt4	38	1428	Reservoir
yox1	89	1422	Reservoir
pho4	32	1402	Reservoir
pdr1	24	1398	Reservoir
snf5	17	1373	Reservoir
aft1	45	1315	Reservoir
pip2	15	1303	Reservoir
gcr2	16	1302	Reservoir
yhp1	37	1278	Reservoir
fhl1	15	1239	Reservoir
tye7	75	1235	Reservoir
